category_code,data_element_text
44X72,Retail Trade and Food Services
44Y72,"Retail Trade and Food Services, ex Auto"
44Z72,"Retail Trade and Food Services, ex Gas"
44W72,"Retail Trade and Food Services, ex Auto and Gas"
44000,Retail Trade
441,Motor Vehicle and Parts Dealers
441X,Auto and Other Motor Vehicles
442,Furniture and Home Furnishings Stores
443,Electronics and Appliance Stores
444,Building Mat. and Garden Equip. and Supplies Dealers
445,Food and Beverage Stores
4451,Grocery Stores
446,Health and Personal Care Stores
447,Gasoline Stations
448,Clothing and Clothing Access. Stores
451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
452,General Merchandise Stores
4522,Department Stores
453,Miscellaneous Store Retailers
454,Nonstore Retailers
722,Food Services and Drinking Places